Day,MAE,RMSE,Max_Absolute_Error,Reference_Well_Drawdown,PINN_Well_Drawdown,Reference_Integrated_Drawdown,PINN_Integrated_Drawdown
1,0.05276138073909701,0.059253063880407686,0.11031234774153686,0.4118158579281773,0.5087161,0.01666666666666692,0.07104641
5,0.035006887266569704,0.041378680228957854,0.0750917535963338,0.5646988234776482,0.56482166,0.0833333333333346,0.119694114
10,0.017469455373252583,0.02257142869892548,0.04786956648615848,0.6541428640408056,0.63592684,0.1666666666666691,0.18116735
15,0.01210483545846744,0.014175597796654222,0.0378165498293519,0.735392483649886,0.7074516,0.25000000000000366,0.24282177
20,0.028135359082931917,0.0300073956848191,0.07524529463821872,0.8157272995708345,0.7786655,0.33333333333333826,0.3040613
25,0.05030938349144347,0.052062940699010976,0.11427981351368932,0.8958875432594452,0.84889466,0.41666666666667207,0.36432478
30,0.07389673580348391,0.07618783278084791,0.1544246813691591,0.976002890630243,0.91758853,0.5000000000000054,0.42311782
